GID,semester,ACTHIGHEST,SATHIGHEST,ACTcalc,HS_GPA,first_generation,gender,race,PELL_ELIGIBLE,CUM_GPA,CAREER_LEVEL,class,Term,Instructor,PIDM
CZA0008,Su20,28,0,28,4.12,Y,F,Caucasian / White,,,U,FR,202130,Curtiss,2462079
ANG0049,Su20,31,,31,4.34,,F,Caucasian / White,,,U,SR,202130,Curtiss,3111091
JRD0050,Su20,23,0,23,4.38,N,M,Caucasian / White,,,U,JR,202130,Curtiss,3572945
RMW0034,Su20,25,0,25,4.19,Y,F,Caucasian / White,,,U,SO,202130,Curtiss,3613848
EAD0047,Su20,0,1050,20,3.42,,F,Caucasian / White,,,U,SO,202130,Curtiss,3624337
MEB0062,Su20,21,0,21,3.41,Y,F,Caucasian / White,,,U,SO,202130,Curtiss,3673765
BAB0089,Su20,0,1300,28,4.21,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3678955
AES0063,Su20,30,0,30,3.67,N,F,Hispanic,,,U,FR,202130,Curtiss,3683985
JKC0036,Su20,23,0,23,3.82,N,F,Black or African American,,,U,FR,202130,Curtiss,3687703
CSS0049,Su20,31,0,31,4.14,N,M,Asian,,,U,FR,202130,Curtiss,3695981
TPW0012,Fa20,20,0,20,3.84,Y,F,Black or African American,Pell eliglble filer,1.92,U,FR,202010,Curtiss,3697988
JBP0055,Fa20,33,,33,4.4,N,M,Caucasian / White,Non-filer,4,U,SO,202010,Curtiss,3729741
DZW0028,Fa20,27,0,27,4.2,N,M,Caucasian / White,Non-filer,2.29,U,FR,202010,Curtiss,3731590
JHL0050,Fa20,19,,19,,N,M,Caucasian / White,,,U,JR,202010,Curtiss,3750971
HKC0013,Su20,23,0,23,3.87,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3781997
JWB0071,Fa20,0,1030,20,3.62,N,M,Caucasian / White,Pell ineligible filer,2.01,U,FR,202010,Curtiss,3789068
CLH0103,Su20,25,,25,,Y,M,Caucasian / White,,,U,JR,202130,Curtiss,3795296
AMG0106,Su20,25,0,25,4.01,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3795747
JKD0030,Su20,21,,21,3.45,Y,F,Two or more races,,,U,SO,202130,Curtiss,3804682
JZM0094,Su20,31,0,31,4.41,N,M,Caucasian / White,,,U,FR,202130,Curtiss,3805972
RMG0041,Su20,30,0,30,3.86,,F,Caucasian / White,,,U,FR,202130,Curtiss,3809697
SMH0089,Fa20,33,0,33,4.03,Y,F,Caucasian / White,Pell eliglble filer,3.07,U,SO,202010,Curtiss,3811137
SLC0049,Su20,33,0,33,4.4,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3820859
JWG0024,Fa20,26,0,26,3.82,Y,F,Caucasian / White,Pell ineligible filer,2.43,U,FR,202010,Curtiss,3824560
JTM0095,Fa20,27,,27,3.6,N,M,Caucasian / White,,,U,SR,202010,Curtiss,3829915
AJR0053,Fa20,29,0,29,3.71,N,F,Caucasian / White,Non-filer,2.52,U,FR,202010,Curtiss,3831362
EMN0017,Su20,31,0,31,4.14,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3835124
AAR0036,Su20,22,0,22,4.07,Y,F,Two or more races,,,U,FR,202130,Curtiss,3843719
ANH0062,Su20,34,0,34,3.76,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3845174
NFJ0003,Fa20,25,,25,4.17,N,F,Caucasian / White,Pell ineligible filer,3.12,U,FR,202010,Curtiss,3859828
JWG0033,Fa20,30,,30,4,N,M,Caucasian / White,Pell ineligible filer,2.87,U,FR,202010,Curtiss,3859887
INS0003,Fa20,31,0,31,4.55,N,F,Caucasian / White,Pell ineligible filer,3.3,U,FR,202010,Curtiss,3860431
KZP0041,Su20,26,0,26,4.31,Y,F,Hispanic,,,U,FR,202130,Curtiss,3867734
PTA0003,Fa20,35,,35,4.54,N,M,Asian,Pell ineligible filer,4,U,JR,202010,Curtiss,3873301
JTB0094,Su20,26,,26,3.71,Y,M,Caucasian / White,,,U,FR,202130,Curtiss,3875907
AMC0166,Fa20,,1250,26,4.97,N,F,Caucasian / White,Pell ineligible filer,3.96,U,FR,202010,Curtiss,3875957
KGC0029,Su20,25,0,25,4.21,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3882588
ABM0054,Fa20,28,,28,,N,F,Two or more races,,,U,JR,202010,Curtiss,3890541
AZW0109,Su20,,930,17,3.38,,F,Caucasian / White,,,U,FR,202130,Curtiss,3894352
AEC0121,Fa20,31,,31,4.31,N,F,Caucasian / White,,,U,SO,202010,Curtiss,3898355
DAS0057,Fa20,30,0,30,3.88,N,M,Hispanic,,,U,FR,202010,Curtiss,3903480
KNF0020,Fa20,30,,30,4.36,Y,F,Caucasian / White,Pell eliglble filer,3.79,U,FR,202010,Curtiss,3904026
MCM0148,Fa20,29,,29,4,N,F,Caucasian / White,Pell ineligible filer,3.5,U,FR,202010,Curtiss,3904036
DRP0020,Su20,0,1310,28,4.23,N,F,Two or more races,,,U,FR,202130,Curtiss,3904608
TMK0024,Fa20,31,,31,4.46,N,F,Caucasian / White,Pell ineligible filer,3.09,U,FR,202010,Curtiss,3904910
MNB0025,Su20,33,,33,4.14,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3909693
TSG0008,Su20,33,,33,4.2,N,M,Caucasian / White,,,U,FR,202130,Curtiss,3910485
AJO0019,Fa20,31,,31,4.45,Y,F,Caucasian / White,Pell ineligible filer,3.29,U,FR,202010,Curtiss,3910538
ABR0033,Fa20,34,,34,4.4,N,M,Caucasian / White,Pell ineligible filer,4,U,SO,202010,Curtiss,3911101
ICM0011,Fa20,23,,23,,Y,M,Caucasian / White,,,U,JR,202010,Curtiss,3911563
ZZW0050,Su20,,,,,,M,Non-Resident Alien,,,U,FR,202130,Curtiss,3911610
BTP0013,Su20,28,0,28,4.05,Y,M,Caucasian / White,,,U,FR,202130,Curtiss,3912262
