GID,ID,Exam,Performance,Grit,Anxiety,Values,Format,planned_schedule,stuck_to_schedule,technology,course_credits,paid_job,extra_curriculars,pressure_balance,cope_balancing,engagement,eng_dummy,comfort_questions,ask_questions,age ,international,major,grad_biology,STEM,grad_STEM
DEIDENTIFIED,DEIDENTIFIED,Exam-1,75,NA,NA,NA,Face to Face,,,,,,,,,NA,,,,,,,,,
DEIDENTIFIED,DEIDENTIFIED,Exam-1,71.5,-0.474935154,1.717988444,-0.984354731,Face to Face,2,4,2,13,15,6,7,2,10-30%,2,3,I did not ask questions at all,20,1,1,1,2,2
DEIDENTIFIED,DEIDENTIFIED,Exam-1,105,0.551357794,-1.968156881,1.271331041,Face to Face,2,2,1,12,,,2,7,71-100%,5,5,Electronically,20,1,2,2,2,2
DEIDENTIFIED,DEIDENTIFIED,Exam-1,80.5,NA,NA,NA,Face to Face,,,,,,,,,NA,,,,,,,,,
DEIDENTIFIED,DEIDENTIFIED,Exam-1,72,0.721739339,0.572344975,1.318569285,Face to Face,1,2,2,18,,20,5,5,31-50%,3,3,"Electronically, In person,  and Small Groups",19,1,2,2,2,2
DEIDENTIFIED,DEIDENTIFIED,Exam-1,77,0.395875156,1.717988444,0.762976079,Face to Face,4,4,1,13,,8,7,2,10-30%,2,5,I did not ask questions at all,19,1,2,1,1,2
DEIDENTIFIED,DEIDENTIFIED,Exam-1,90,0.668290126,-2.907780939,0.011325246,Face to Face,1,1,1,15,,4,1,6,51-70%,4,2,I did not ask questions at all,19,1,1,1,2,2
DEIDENTIFIED,DEIDENTIFIED,Exam-1,94,0.492891628,1.500365423,0.13927589,Face to Face,2,2,1,13,3,2,5,4,10-30%,2,3,I did not ask questions at all,19,1,1,1,2,2
DEIDENTIFIED,DEIDENTIFIED,Exam-1,77,0.668290126,-3.635457424,-0.042338161,Face to Face,5,5,1,17,36,10,7,5,51-70%,4,2,I did not ask questions at all,21,1,1,1,1,1
DEIDENTIFIED,DEIDENTIFIED,Exam-1,93,0.589294568,-2.488058594,0.483693482,Face to Face,1,2,1,16,13,5,7,5,51-70%,4,1,I did not ask questions at all,20,1,2,2,2,2
